word,missing_cefr,source_pos,source_def_idx,sense_text,badge,found_in_lines,found_in_declared_cef
descent,C2,noun,3,a person’s family origins,C1,2866,C1
devour,C1,verb,1,"to eat all of something quickly, especially because you are very hungry",,2506,UNCLASSIFIED
differ,C1,verb,2,to disagree with somebody,B2,2764,B2
directory,C2,noun,2,a file containing a group of other files or programs in a computer,C1,2868,C1
disagreement,C1,noun,2,a difference between two things that should be the same,B2,2869,B2
discharge,C2,verb,3,to allow somebody to leave prison or court,C1,2870,C1
discipline,C1,noun,4,"an area of knowledge; a subject that people study or are taught, especially in a university",B2,2510,B2
discriminate,C1,verb,1,to recognize that there is a difference between people or things; to show a difference between people or things,,1598,UNCLASSIFIED
dismissal,C2,noun,5,the end of the innings of a player or team,C1,2872,C1
disorder,C1,noun,2,an untidy state; a lack of order or organization,B2,2871,B2
disorder,C1,noun,3,violent behaviour of large groups of people,B2,2871,B2
disrupt,C2,verb,2,to cause significant change in an industry or market by means of innovation (= new ideas or methods),C1,2875,C1
disruption,C2,noun,2,significant change to an industry or market due to innovation (= new ideas or methods) in technology,C1,2873,C1
dissolve,C2,verb,3,"to officially end a marriage, business agreement or parliament",C1,2874,C1
distant,C1,adjective,3,related to you but not closely,B2,2876,B2
distinguish,C1,verb,3,to be able to see or hear something,B2,2504,B2
distinguish,C1,verb,4,to do something so well that people notice and admire you,B2,2504,B2
disturb,C1,verb,2,to make somebody worry,B2,2877,B2
domain,C2,noun,4,the range of possible values of a particular variable,C1,2878,C1
donation,C1,noun,2,the act of allowing doctors to remove blood or a body organ in order to help somebody who needs it,B2,2879,B2
dread,C1,noun,1,a feeling of great fear about something that might or will happen in the future; a thing that causes this feeling,,339,UNCLASSIFIED
dull,C1,adjective,2,not bright or shiny,B2,2765,B2
dull,C1,adjective,3,"not bright, with a lot of clouds",B2,2765,B2
dull,C1,adjective,4,not clear or loud,B2,2765,B2
dump,C1,verb,4,to put something/somebody down in a careless or untidy way,B2,2880,B2
dump,C1,verb,5,to end a romantic relationship with somebody,B2,2880,B2
dynamic,C1,adjective,2,always changing and making progress,B2,2881,B2
echo,C2,noun,3,an opinion or attitude that agrees with or repeats one already expressed or thought,C1,2885,C1
economics,C1,noun,2,"the way in which money influences, or is organized within, an area of business or society",B2,2882,B2
elementary,C1,adjective,2,of the most basic kind,B2,2884,B2
elementary,C1,adjective,3,very simple and easy,B2,2884,B2
elevate,C2,verb,3,to make the level of something increase,C1,2886,C1
eliminate,C1,verb,2,to stop considering that somebody/something might be responsible for something or chosen for something,B2,2502,B2
eliminate,C1,verb,3,"to defeat a person or a team so that they no longer take part in a competition, etc.",B2,2502,B2
embrace,C1,verb,3,to include something,B2,2603,B2
empire,C1,noun,2,a group of commercial organizations controlled by one person or company,B2,2889,B2
enact,C2,verb,2,to perform a play or act a part in a play,C1,2888,C1
engage,C2,verb,4,to begin fighting with somebody,B2,2554,B2
engaged,B2,adjective,2,busy doing something; involved with somebody/something in an active and interested way,B1,395,B1
engagement,C2,noun,4,"fighting between two armies, etc.",C1,2890,C1
envelope,C1,noun,2,a flat container made of plastic for keeping papers in,B2,2891,B2
erupt,C1,verb,2,"to start happening, suddenly and violently",B2,2593,B2
essential,B2,adjective,2,connected with the most important aspect or basic nature of somebody/something,B1,320,B1
exceed,C1,verb,3,to be better than expected,B2,2594,B2
