word,missing_cefr,source_pos,source_def_idx,sense_text,badge
colony,C1,noun,5,a group of plants or animals that live together or grow in the same place,B2
colourful,C1,adjective,2,"interesting or exciting; full of variety, sometimes in a way that shocks people",B2
commander,C1,noun,2,an officer of fairly high rank in the British or American navy,B2
commander,C2,noun,3,(in England) a London police officer of high rank,B2
commissioner,C2,noun,2,the head of a particular police force in some countries,C1
commissioner,C2,noun,3,the head of a government department in some countries,C1
compatible,C1,adjective,1,able to be used together,
compatible,C1,adjective,3,"if two people are compatible, they can have a good relationship because they have similar ideas, interests, etc.",
competitive,B2,adjective,3,as good as or better than others,B1
compose,C1,verb,2,"to write a letter, etc. usually with a lot of care and thought",B2
compose,C1,verb,3,to combine together to form a whole,B2
composition,C2,noun,3,"a piece of music or art, or a poem",C1
composition,C2,noun,5,the arrangement of people or objects in a painting or photograph,C1
comprehensive,C2,adjective,2,designed for students of all abilities in the same school,B2
concession,C2,noun,3,a reduction in an amount of money that has to be paid; a ticket that is sold at a reduced price to a particular group of,C1
concrete,C1,adjective,2,"based on facts, not on ideas or guesses",B2
configuration,C2,noun,2,the equipment and programs that form a computer system and the way that these are set up to run,C1
confirmation,C2,noun,2,a ceremony at which a person becomes a full member of the Christian Church,C1
confirmation,C2,noun,3,a Jewish ceremony similar to a bar mitzvah or bat mitzvah but usually for young people over the age of 16,C1
conform,C1,verb,2,"to obey a rule, law, etc.",
conform,C1,verb,3,to agree with or match something,
congruence,C2,noun,2,the quality of having the same size and shape,
conservation,C1,noun,2,the official protection of buildings and objects that have historical or artistic importance,B2
conservation,C1,noun,3,"the act of preventing something from being lost, wasted, damaged or destroyed",B2
consistent,C1,adjective,3,in agreement with something; not contradicting something,B2
consistent,C1,adjective,4,having different parts that all agree with each other,B2
consolidation,C1,noun,1,the act or process of making a position of power or success stronger so that it is more likely to continue,
consumption,C1,noun,2,the act of buying and using products,B2
contagious,C1,adjective,1,a contagious disease spreads by close contact between people,
contaminate,C1,verb,1,to make a substance or place dirty or no longer pure by adding a substance that is dangerous or carries disease,
contempt,C2,noun,2,"a lack of worry or fear about rules, danger, etc.",C1
contract,C2,noun,2,an agreement to kill somebody for money,B2
contract,C2,verb,2,to get an illness,B2
contract,C2,verb,3,to make a legal agreement with somebody for them to work for you or provide you with a service,B2
contract,C2,verb,4,to make a legal agreement to work for somebody or provide them with a service,B2
contract,C2,verb,5,to formally agree to marry somebody/form an alliance with somebody,B2
contradict,C1,verb,1,"to say that something that somebody else has said is wrong, and that the opposite is true",
contradict,C1,verb,2,to be so different from each other that one of them must be wrong,
contrast,C1,noun,3,"differences in colour or in light and dark, used in photographs and paintings to create a special effect",B1
contrast,C2,noun,4,the amount of difference between light and dark in a photograph or the picture on a television screen,B1
convene,C2,verb,1,to arrange for people to come together for a formal meeting,
convene,C2,verb,2,to come together for a formal meeting,
convention,C1,noun,3,an official agreement between countries or leaders,B2
convention,C1,noun,4,"a traditional method or style in literature, art or the theatre",B2
conventional,C1,adjective,4,not nuclear,B2
coordinate,C2,noun,1,either of two numbers or letters used to fix the position of a point on a map or graph,C1
coordinate,C2,noun,2,"pieces of clothing that can be worn together because, for example, the colours look good together",C1
coordinate,C2,verb,3,"if you coordinate clothes, furniture, etc. or if they coordinate, they look nice together",C1
copper,C2,noun,3,a police officer,C1
corporation,C2,noun,3,a group of people elected to govern a large town or city and provide public services,B2
corridor,C1,noun,3,a long narrow piece of land that follows the course of an important road or river,B2
coverage,C1,noun,3,the amount of something that something provides; the extent to which something covers an area or a group of people,B2
crack,C2,noun,3,a sudden loud noise,B2
crack,C2,noun,6,"a powerful, illegal drug that is a form of cocaine",B2
crack,C2,verb,8,to find a way of stopping or defeating a criminal or an enemy,B2
craft,C2,noun,4,a boat or ship,C1
crawl,C2,noun,2,"a fast swimming stroke that you do lying on your front moving one arm over your head, and then the other, while kicking ",C1
crawl,C2,verb,5,to search the internet in order to record and list data,C1
critically,C1,adverb,5,"in a way that is connected with the judgement of critics of art, music, literature, etc.",B2
crown,C2,noun,6,the top part of the head or a hat,C1
crown,C2,noun,7,the highest part of something,C1
crown,C2,noun,10,an artificial cover for a damaged tooth,C1
crown,C2,noun,11,the part of the tooth that is above the gum,C1
crown,C2,noun,13,a unit of money in several European countries,C1
crown,C2,noun,14,an old British coin worth five shillings (= now 25p),C1
crown,C2,verb,3,"to make something complete or perfect, especially by adding an achievement, a success, etc.",C1
cue,C2,noun,3,"a long wooden stick with a leather tip, used for hitting the ball in the games of billiards, pool and snooker",B2
cutting,C2,adjective,1,unkind and likely to hurt somebody’s feelings,C1
cutting,C2,noun,3,"a narrow open passage that is dug through high ground for a road, railway or canal",C1
dare,C1,verb,2,"to challenge somebody to do something dangerous, difficult or embarrassing so that they can show that they are not afrai",B2
deadly,C1,adjective,2,extreme; complete,B2
dealer,C1,noun,3,the person who gives out the cards in a card game,B2
deception,C1,noun,1,the act of deliberately making somebody believe something that is not true (= of deceiving them),
deck,C1,noun,4,a complete set of 52 playing cards,B2
deck,C1,noun,5,a wooden floor that is built outside the back of a house where you can sit and relax,B2
deck,C2,noun,6,a set of slides (= pages created on a computer that contain text and images) that are used to accompany a person’s prese,B2
deck,C2,noun,7,a part of a sound system that records and/or plays sounds on a disc or tape,B2
deed,C2,noun,2,"a legal document that you sign, especially one that proves that you own a house or a building",C1
default,C2,verb,1,"to fail to do something that you legally have to do, especially by not paying a debt",C1
default,C2,verb,2,to happen when you do not make any other choice or change,C1
dehydrated,C2,adjective,2,having lost too much water from your body,
democracy,C1,noun,3,"fair and equal treatment of everyone in an organization, etc., and their right to take part in making decisions",B2
demonstration,C1,noun,3,an act of giving proof or evidence for something,B2
dense,C2,adjective,3,stupid,C1
deposit,C1,noun,3,a sum of money that is paid into a bank account,C1
deposit,C2,noun,4,"(in the British political system) the amount of money that a candidate in an election to Parliament has to pay, and that",C1
deposit,C1,noun,5,a layer of a substance that has formed naturally underground,C1
deposit,C1,noun,6,"a layer of a substance that has been left somewhere, especially by a river, flood, etc., or is found at the bottom of a ",C1
deposit,C1,verb,1,to put money into a bank account,C1
deposit,C1,verb,2,to pay a sum of money as the first part of a larger payment; to pay a sum of money that you will get back if you return ,C1
deposit,C2,verb,4,"to leave a layer of something on the surface of something, especially gradually and over a period of time",C1
depress,C2,verb,4,"to press or push something down, especially part of a machine",
depression,C1,noun,3,a period when there is little economic activity and many people are poor or without jobs,B2
depression,C2,noun,5,"a weather condition in which the pressure of the air becomes lower, often causing rain",B2
deputy,C2,noun,3,(in the US) a police officer who helps the sheriff of an area,C1
descent,C2,noun,3,a person’s family origins,C1
devour,C1,verb,1,"to eat all of something quickly, especially because you are very hungry",
dialogue,B2,noun,2,"a formal discussion between two groups or countries, especially when they are trying to solve a problem, end a disagreem",A1
differ,C1,verb,2,to disagree with somebody,B2
dip,C2,noun,2,"a decrease in the amount or success of something, usually for only a short period",C1
dip,C2,noun,3,a place where a surface suddenly drops to a lower level and then rises again,C1
dip,C2,verb,3,"if you dip your headlights when driving a car at night, you make the light from them point down so that other drivers do",C1
directory,C2,noun,2,a file containing a group of other files or programs in a computer,C1
disagreement,C1,noun,2,a difference between two things that should be the same,B2
discharge,C2,verb,3,to allow somebody to leave prison or court,C1
discipline,C1,noun,4,"an area of knowledge; a subject that people study or are taught, especially in a university",B2
discipline,C2,verb,2,"to train somebody, especially a child, to obey particular rules and control the way they behave",B2
discriminate,C1,verb,1,to recognize that there is a difference between people or things; to show a difference between people or things,
dismissal,C2,noun,5,the end of the innings of a player or team,C1
disorder,C1,noun,2,an untidy state; a lack of order or organization,B2
disorder,C1,noun,3,violent behaviour of large groups of people,B2
disrupt,C2,verb,2,to cause significant change in an industry or market by means of innovation (= new ideas or methods),C1
disruption,C2,noun,2,significant change to an industry or market due to innovation (= new ideas or methods) in technology,C1
dissolve,C2,verb,3,"to officially end a marriage, business agreement or parliament",C1
distant,C1,adjective,3,related to you but not closely,B2
distinguish,C1,verb,3,to be able to see or hear something,B2
distinguish,C1,verb,4,to do something so well that people notice and admire you,B2
disturb,C1,verb,2,to make somebody worry,B2
domain,C2,noun,4,the range of possible values of a particular variable,C1
domesticated,C1,adjective,1,used to living with or working for humans,
dominant,C2,adjective,2,"a dominant gene causes a person to have a particular physical characteristic, for example brown eyes, even if only one o",B2
donation,C1,noun,2,the act of allowing doctors to remove blood or a body organ in order to help somebody who needs it,B2
dot,C2,noun,4,"a small round mark that appears after a musical note to show that it should last for an extra half of its usual length, ",B2
dread,C1,noun,1,a feeling of great fear about something that might or will happen in the future; a thing that causes this feeling,
dull,C1,adjective,2,not bright or shiny,B2
dull,C1,adjective,3,"not bright, with a lot of clouds",B2
dull,C1,adjective,4,not clear or loud,B2
dull,C1,adjective,5,"not very severe, but continuous",B2
dump,C1,verb,4,to put something/somebody down in a careless or untidy way,B2
dump,C1,verb,5,to end a romantic relationship with somebody,B2
dynamic,C1,adjective,2,always changing and making progress,B2
dynamic,C1,noun,1,the way in which people or things behave and react to each other in a particular situation,B2
dynamic,C2,noun,2,the science of the forces involved in movement,B2
dynamic,C2,noun,4,changes in volume in music,B2
echo,C2,noun,3,an opinion or attitude that agrees with or repeats one already expressed or thought,C1
economics,C1,noun,2,"the way in which money influences, or is organized within, an area of business or society",B2
elementary,C1,adjective,2,of the most basic kind,B2
elementary,C1,adjective,3,very simple and easy,B2
elevate,C2,verb,3,to make the level of something increase,C1
