word,cefr,classification,keep_line_no,delete_line_nos,n_senses_kept,total_unique_senses,senses_overcap,notes
observer,B2,PAGINATION,2252,2952,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
obstacle,B2,PAGINATION,2253,2954,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
occupation,B2,PAGINATION,2254,2953,1,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
occupy,B2,PAGINATION,2255,2957,1,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
opera,B2,PAGINATION,2258,2956,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
operator,B2,PAGINATION,2259,2955,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
organic,B2,PAGINATION,2261,2958,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
outstanding,B2,PAGINATION,2264,2960,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
overcome,B2,PAGINATION,2265,2959,1,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
overnight,B2,PAGINATION,2266,2961,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
partnership,B2,PAGINATION,2274,2962,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
peer,B2,PAGINATION,2280,2964,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
penalty,B2,PAGINATION,2281,2963,2,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
pity,B2,PAGINATION,2284,2967,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
placement,B2,PAGINATION,2285,2965,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
precise,B2,PAGINATION,2288,2966,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
pride,B2,PAGINATION,2292,2968,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
programming,B2,PAGINATION,2297,2969,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
progressive,B2,PAGINATION,2298,2971|2970,1,3,0,"PAGINATION: 2 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
promotion,B2,PAGINATION,2300,2974,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
proportion,B2,PAGINATION,2301,2972,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
pursuit,B2,PAGINATION,2308,2973,1,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
puzzle,B2,PAGINATION,2309,2975,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
rail,B2,PAGINATION,2314,2976,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
rating,B2,PAGINATION,2317,2977,2,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
receiver,B2,PAGINATION,2320,2978,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
recognition,B2,PAGINATION,2322,2983,2,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
recovery,B2,PAGINATION,2323,2980|2979,2,4,1,"PAGINATION: 2 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
referee,B2,PAGINATION,2326,2982|2981,2,4,1,"PAGINATION: 2 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
registration,B2,PAGINATION,2327,2984,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
relieve,B2,PAGINATION,2329,2985,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
resolution,B2,PAGINATION,2335,2986,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
restriction,B2,PAGINATION,2338,2988,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
retirement,B2,PAGINATION,2340,2987,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
rocket,B2,PAGINATION,2347,2991,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
romance,B2,PAGINATION,2348,2990,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
scandal,B2,PAGINATION,2353,2992,1,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
scholar,B2,PAGINATION,2356,2993,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
scholarship,B2,PAGINATION,2357,2995,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
screening,B2,PAGINATION,2358,2994,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
seminar,B2,PAGINATION,2360,2996,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
sexy,B2,PAGINATION,2362,2997,2,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
signature,B2,PAGINATION,2368,2999,1,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
significance,B2,PAGINATION,2369,2998,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
speculate,B2,PAGINATION,2378,3000,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
speculation,B2,PAGINATION,2379,3001,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
spoil,B2,PAGINATION,2382,3002,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
strictly,B2,PAGINATION,2390,3004,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
strip (long narrow piece),C1,PAGINATION,2391,3003,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
stunning,B2,PAGINATION,2393,3005,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
sympathetic,B2,PAGINATION,2401,3007,1,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
tag,B2,PAGINATION,2402,3006,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
temple,B2,PAGINATION,2405,3008,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
terms,B2,PAGINATION,2407,3009,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
terror,B2,PAGINATION,2411,3011,2,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
thesis,B2,PAGINATION,2418,3010,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
tissue,B2,PAGINATION,2422,3013,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
tragic,B2,PAGINATION,2428,3012,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
transmit,B2,PAGINATION,2430,3014,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
trap,B2,PAGINATION,2432,3015,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
tribe,B2,PAGINATION,2434,3016,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
uncertainty,B2,PAGINATION,2440,3017,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
undertake,B2,PAGINATION,2441,3018,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
unity,B2,PAGINATION,2443,3019,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
variation,B2,PAGINATION,2449,3021,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
viewpoint,B2,PAGINATION,2450,3020,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
wander,B2,PAGINATION,2456,3022,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
withdraw,B2,PAGINATION,2466,3023,2,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
worm,B2,PAGINATION,2470,3024|3025,3,6,3,"PAGINATION: 2 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
strip,UNCLASSIFIED,PAGINATION,2734,2731,3,6,3,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
