word,cefr,classification,keep_line_no,delete_line_nos,n_senses_kept,total_unique_senses,senses_overcap,notes
stroke,B2,PAGINATION,604,2612|2613,3,7,4,"PAGINATION: 2 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
suspend,B2,PAGINATION,606,2614,2,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
tap,B2,PAGINATION,607,2617,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
unfold,B2,PAGINATION,611,2615,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
archive,C1,PAGINATION,635,2618,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
array,C1,PAGINATION,638,2619,1,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
ash,C1,PAGINATION,640,2620,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
backing,C1,PAGINATION,658,2623,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
bail,C1,PAGINATION,659,2622,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
banner,C1,PAGINATION,661,2621,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
beam,C1,PAGINATION,665,2624,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
boundary,C1,PAGINATION,676,2625,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
composition,C1,PAGINATION,704,2626,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
bass,C1,PAGINATION,725,2631,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
bat,C1,PAGINATION,726,2632,1,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
bay,C1,PAGINATION,727,2627,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
bench,C1,PAGINATION,730,2628,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
bishop,C1,PAGINATION,731,2630,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
blade,C1,PAGINATION,732,2629,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
boom,C1,PAGINATION,736,2634,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
bounce,C1,PAGINATION,737,2633,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
bow,C1,PAGINATION,738,2638,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
buck,C1,PAGINATION,741,2635,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
buffer,C1,PAGINATION,743,2636,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
carve,C1,PAGINATION,752,2637,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
caution,C1,PAGINATION,756,2639,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
chamber,C1,PAGINATION,759,2641,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
charm,C1,PAGINATION,761,2642,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
charter,C1,PAGINATION,762,2640,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
faction,C1,PAGINATION,776,2644,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
faculty,C1,PAGINATION,777,2643,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
filter,C1,PAGINATION,788,2645,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
footage,C1,PAGINATION,800,2646,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
franchise,C1,PAGINATION,808,2648,2,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
frustrated,C1,PAGINATION,810,2647,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
frustration,C1,PAGINATION,811,2650,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
grasp,C1,PAGINATION,826,2655,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
grave,UNCLASSIFIED,PAGINATION,828,827,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
grief,C1,PAGINATION,831,2651,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
grip,C1,PAGINATION,834,2652,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
gross,C1,PAGINATION,835,2653,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
hail,C1,PAGINATION,840,2654,2,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
halt,C1,PAGINATION,842,2657,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
handling,C1,PAGINATION,844,2656,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
hook,C1,PAGINATION,2658,859,3,6,3,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
horn,C1,PAGINATION,862,2659,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
indictment,C1,PAGINATION,886,2660,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
induce,C1,PAGINATION,888,2661,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
interference,C1,PAGINATION,922,2662,2,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
landmark,C1,PAGINATION,946,2663,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
lap,C1,PAGINATION,947,2664,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
legitimate,C1,PAGINATION,961,2665,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
line-up,C1,PAGINATION,975,2668,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
lobby,C1,PAGINATION,979,2666,2,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
logic,C1,PAGINATION,981,2667,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
loop,C1,PAGINATION,985,2669,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
magnitude,C1,PAGINATION,991,2670,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
maintenance,C1,PAGINATION,994,2671,2,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
march,C1,PAGINATION,1000,2675,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
marginal,C1,PAGINATION,1001,2672,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
mask,C1,PAGINATION,1004,2674,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
mature,C1,PAGINATION,1007,2673,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
merit,C1,PAGINATION,1023,2676,2,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
ministry,C1,PAGINATION,1032,2677,1,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
mob,C1,PAGINATION,1038,2678,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
momentum,C1,PAGINATION,1042,2679,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
niche,C1,PAGINATION,1057,2680,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
nursery,C1,PAGINATION,1071,2681,2,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
outsider,C1,PAGINATION,1094,2682,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
pad,C1,PAGINATION,1101,2684|2683,3,5,2,"PAGINATION: 2 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
partial,C1,PAGINATION,1106,2685,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
patch,C1,PAGINATION,1111,2687,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
patron,C1,PAGINATION,1115,2686,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
peak,C1,PAGINATION,1116,2689,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
peculiar,C1,PAGINATION,1118,2688,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
plead,C1,PAGINATION,1131,2690,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
pole,C1,PAGINATION,1135,2691,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
premier,C1,PAGINATION,2692,1153,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
principal,C1,PAGINATION,1169,2695,2,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
probe,C1,PAGINATION,1172,2693,1,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
protocol,C1,PAGINATION,1191,2696,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
pulse,C1,PAGINATION,1197,2697,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
pump,C1,PAGINATION,1198,2702,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
punch,C1,PAGINATION,1199,2701,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
rally,C1,PAGINATION,1207,2698,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
rape,C1,PAGINATION,1209,2699,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
ray,C1,PAGINATION,1211,2700,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
rejection,C1,PAGINATION,1231,2703,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
render,C1,PAGINATION,1239,2705,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
representation,C1,PAGINATION,1244,2704,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
restoration,C1,PAGINATION,1256,2708,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
retreat,C1,PAGINATION,1259,2706,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
revival,C1,PAGINATION,1264,2707,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
rip,C1,PAGINATION,1270,2709,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
rock,C1,PAGINATION,2712,1272,2,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
sack,C1,PAGINATION,1278,2710,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
sanction,C1,PAGINATION,1283,2711,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
screw,C1,PAGINATION,1288,2715,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
segment,C1,PAGINATION,1293,2713,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
settlement,C1,PAGINATION,1303,2714,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
shed,C1,PAGINATION,1308,2716,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
shipping,C1,PAGINATION,1310,2717,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
shrink,C1,PAGINATION,1312,2718,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
sketch,C1,PAGINATION,1319,2719,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
slam,C1,PAGINATION,1321,2720,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
snap,C1,PAGINATION,1327,2721,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
spam,C1,PAGINATION,1338,2722,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
span,C1,PAGINATION,1339,2725,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
spin,C1,PAGINATION,1345,2729,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
spine,C1,PAGINATION,1346,2723,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
stake,C1,PAGINATION,1355,2724,3,6,3,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
