line_no,word,pos,cefr,n_senses,group_size,group_classification,action
658,backing,noun,C1,2,2,PAGINATION,keep
2623,backing,noun,C1,1,2,PAGINATION,delete
659,bail,noun,C1,2,2,PAGINATION,keep
2622,bail,noun,C1,1,2,PAGINATION,delete
661,banner,noun,C1,3,2,PAGINATION,keep
2621,banner,noun,C1,1,2,PAGINATION,delete
665,beam,noun,C1,3,2,PAGINATION,keep
2624,beam,noun,C1,1,2,PAGINATION,delete
676,boundary,noun,C1,2,2,PAGINATION,keep
2625,boundary,noun,C1,1,2,PAGINATION,delete
704,composition,noun,C1,3,2,PAGINATION,keep
2626,composition,noun,C1,2,2,PAGINATION,delete
725,bass,noun,C1,3,2,PAGINATION,keep
2631,bass,noun,C1,1,2,PAGINATION,delete
726,bat,verb,C1,1,2,PAGINATION,keep
2632,bat,verb,C1,3,2,PAGINATION,delete
727,bay,noun,C1,3,2,PAGINATION,keep
2627,bay,noun,C1,1,2,PAGINATION,delete
730,bench,noun,C1,3,2,PAGINATION,keep
2628,bench,noun,C1,1,2,PAGINATION,delete
731,bishop,noun,C1,1,2,PAGINATION,keep
2630,bishop,noun,C1,1,2,PAGINATION,delete
732,blade,noun,C1,3,2,PAGINATION,keep
2629,blade,noun,C1,1,2,PAGINATION,delete
736,boom,noun,C1,3,2,PAGINATION,keep
2634,boom,noun,C1,1,2,PAGINATION,delete
737,bounce,verb,C1,3,2,PAGINATION,keep
2633,bounce,verb,C1,2,2,PAGINATION,delete
738,bow,"noun, verb",C1,3,2,PAGINATION,keep
2638,bow,"noun, verb",C1,1,2,PAGINATION,delete
741,buck,noun,C1,3,2,PAGINATION,keep
2635,buck,noun,C1,1,2,PAGINATION,delete
743,buffer,noun,C1,3,2,PAGINATION,keep
2636,buffer,noun,C1,1,2,PAGINATION,delete
752,carve,verb,C1,3,2,PAGINATION,keep
2637,carve,verb,C1,1,2,PAGINATION,delete
756,caution,noun,C1,3,2,PAGINATION,keep
2639,caution,noun,C1,1,2,PAGINATION,delete
759,chamber,noun,C1,3,2,PAGINATION,keep
2641,chamber,noun,C1,1,2,PAGINATION,delete
761,charm,noun,C1,3,2,PAGINATION,keep
2642,charm,noun,C1,1,2,PAGINATION,delete
762,charter,noun,C1,3,2,PAGINATION,keep
2640,charter,noun,C1,1,2,PAGINATION,delete
776,faction,noun,C1,2,2,PAGINATION,keep
2644,faction,noun,C1,1,2,PAGINATION,delete
777,faculty,noun,C1,3,2,PAGINATION,keep
2643,faculty,noun,C1,1,2,PAGINATION,delete
788,filter,"noun, verb",C1,3,2,PAGINATION,keep
2645,filter,"noun, verb",C1,2,2,PAGINATION,delete
800,footage,noun,C1,1,2,PAGINATION,keep
2646,footage,noun,C1,1,2,PAGINATION,delete
808,franchise,noun,C1,2,2,PAGINATION,keep
2648,franchise,noun,C1,2,2,PAGINATION,delete
